["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,primal,dual,solver
1.700534e+00,1501,4.41466262732333e-07,2.00684872040602e-01,2.00685313506864e-01,2.00621646126139e-01,6.36673807250243e-05,lamp_kernel
1.993848e+00,1751,2.81974823723914e-07,2.00681642436209e-01,2.00681924411033e-01,2.00624699359684e-01,5.72250513482531e-05,lamp_kernel
2.280303e+00,2001,2.21868681529693e-07,2.00679478211069e-01,2.00679700079750e-01,2.00629166740515e-01,5.05333392352703e-05,lamp_kernel
2.566869e+00,2251,1.84525708855161e-07,2.00677954028461e-01,2.00678138554169e-01,2.00633964017758e-01,4.41745364118118e-05,lamp_kernel
2.853592e+00,2501,1.38724051912391e-07,2.00676850134633e-01,2.00676988858685e-01,2.00638264913690e-01,3.87239449949062e-05,lamp_kernel
3.141095e+00,2751,8.64827321529424e-08,2.00676033636634e-01,2.00676120119366e-01,2.00641908030947e-01,3.42120884191111e-05,lamp_kernel
3.429914e+00,3001,4.45713299304073e-08,2.00675414982155e-01,2.00675459553485e-01,2.00645467954588e-01,2.99915988970223e-05,lamp_kernel
4.438146e+00,3251,4.69173283228378e-08,2.00674932794078e-01,2.00674979711406e-01,2.00648865559530e-01,2.61141518765884e-05,lamp_kernel
4.725272e+00,3501,5.50106132866713e-08,2.00674546366723e-01,2.00674601377336e-01,2.00652049331927e-01,2.25520454095740e-05,lamp_kernel
5.012392e+00,3751,6.24700908419672e-08,2.00674229300019e-01,2.00674291770110e-01,2.00654927533674e-01,1.93642364359203e-05,lamp_kernel
5.306676e+00,4001,6.74507973716161e-08,2.00673964329393e-01,2.00674031780190e-01,2.00657461382800e-01,1.65703973900588e-05,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
8.900600e-05,1,1.59801980198020e+00,3.44979046533790e-01,1.94299884851399e+00,0.00000000000000e+00,1.94299884851399e+00,lamp_kernel
2.863946e-01,251,2.75256201742024e-04,1.95108308161798e-01,1.95383564363540e-01,1.93272664662261e-01,2.11089970127917e-03,lamp_kernel
5.700324e-01,501,3.78267548009024e-05,1.94301309255951e-01,1.94339136010752e-01,1.93747718210569e-01,5.91417800183680e-04,lamp_kernel
8.498918e-01,751,6.35844548622473e-06,1.94162030072813e-01,1.94168388518300e-01,1.93857161973025e-01,3.11226545275017e-04,lamp_kernel
1.130235e+00,1001,7.15370100482805e-06,1.94112344181846e-01,1.94119497882851e-01,1.93902939258598e-01,2.16558624253543e-04,lamp_kernel
1.413166e+00,1251,3.89249636427397e-06,1.94088035039394e-01,1.94091927535758e-01,1.93943608227797e-01,1.48319307960582e-04,lamp_kernel
1.698050e+00,1501,9.19869604716431e-07,1.94074660276253e-01,1.94075580145858e-01,1.93969316827509e-01,1.06263318348759e-04,lamp_kernel
1.983186e+00,1751,1.79238515105257e-06,1.94066431212045e-01,1.94068223597196e-01,1.93988298221006e-01,7.99253761905594e-05,lamp_kernel
2.268896e+00,2001,1.16595666937459e-06,1.94061002011077e-01,1.94062167967746e-01,1.93999959707541e-01,6.22082602050600e-05,lamp_kernel
2.558796e+00,2251,3.85474888727906e-07,1.94057379330418e-01,1.94057764805307e-01,1.94008495808265e-01,4.92689970412741e-05,lamp_kernel
2.850912e+00,2501,5.83934709544066e-07,1.94054812935843e-01,1.94055396870552e-01,1.94014506316859e-01,4.08905536928572e-05,lamp_kernel
3.144624e+00,2751,5.78828517710666e-07,1.94052938566708e-01,1.94053517395226e-01,1.94018619670554e-01,3.48977246719673e-05,lamp_kernel
3.431344e+00,3001,4.66862250613549e-07,1.94051577981443e-01,1.94052044843693e-01,1.94018931131177e-01,3.31137125166303e-05,lamp_kernel
3.717981e+00,3251,4.27618298961671e-07,1.94050565308654e-01,1.94050992926953e-01,1.94019014276020e-01,3.19786509321018e-05,lamp_kernel
4.004784e+00,3501,3.27133808011204e-07,1.94049801336704e-01,1.94050128470512e-01,1.94019464938912e-01,3.06635316005832e-05,lamp_kernel
4.298257e+00,3751,2.17811606403616e-07,1.94049219670454e-01,1.94049437482061e-01,1.94020783417304e-01,2.86540647565781e-05,lamp_kernel
4.591640e+00,4001,1.80703723304879e-07,1.94048762079548e-01,1.94048942783271e-01,1.94022417274448e-01,2.65255088236493e-05,lamp_kernel
4.882767e+00,4251,1.58822153585955e-07,1.94048394009348e-01,1.94048552831502e-01,1.94023770330565e-01,2.47825009362934e-05,lamp_kernel
5.170115e+00,4501,1.32858830894390e-07,1.94048093201361e-01,1.94048226060192e-01,1.94025023962388e-01,2.32020978038761e-05,lamp_kernel
5.457391e+00,4751,1.14788734032796e-07,1.94047841956470e-01,1.94047956745204e-01,1.94026232099594e-01,2.17246456102049e-05,lamp_kernel
5.744820e+00,5001,9.87126616134362e-08,1.94047628943769e-01,1.94047727656430e-01,1.94027355596695e-01,2.03720597350965e-05,lamp_kernel
6.032248e+00,5251,8.01267253793672e-08,1.94047445905908e-01,1.94047526032633e-01,1.94028347921676e-01,1.91781109576961e-05,lamp_kernel
