cross_term_1,cross_term_2,diff,cumsum
3.874952016721407e-8,3.087346695463871e-14,-3.8749489293747114e-8,-0.057643200195131125
3.6058628700212094e-8,2.7877241252154773e-14,-3.605860082297084e-8,-0.057643946567052746
3.3577306816063036e-8,2.5109602973298174e-14,-3.3577281706460064e-8,-0.05764464135149593
3.128855286512232e-8,2.2453401930911443e-14,-3.128853041172039e-8,-0.05764528855830623
2.9177041396795073e-8,2.0157280822972655e-14,-2.917702123951425e-8,-0.057645891875357305
2.7228873238622642e-8,1.7949328744495033e-14,-2.7228855289293898e-8,-0.05764645469936277
2.5431375920963414e-8,1.595766179964553e-14,-2.5431359963301613e-8,-0.0576469801622299
2.3772941685099245e-8,1.4203766730639772e-14,-2.3772927481332514e-8,-0.05764747115383535
2.2242898302428726e-8,1.2587611206141545e-14,-2.224288571481752e-8,-0.05764793034191791
2.0831403208702624e-8,1.1115819073171714e-14,-2.083139209288355e-8,-0.057648360189640764
1.9529357826325133e-8,9.768829830638185e-15,-1.9529348057495304e-8,-0.0576487629712588
1.8328337162792693e-8,8.656317490390316e-15,-1.8328328506475204e-8,-0.0576491407862335
1.7220530245423113e-8,7.585838834645358e-15,-1.7220522659584277e-8,-0.0576494955720628
1.6198691001674712e-8,6.733957101766453e-15,-1.619868426771761e-8,-0.057649829116034106
1.525609576023179e-8,5.911006787258406e-15,-1.5256089849225002e-8,-0.05765014306606386
1.4386505745836714e-8,5.280496732581656e-15,-1.4386500465339982e-8,-0.057650438940743856
1.3584134695738628e-8,4.636664969348869e-15,-1.3584130059073659e-8,-0.05765071813869532
1.2843619037211041e-8,4.16995293968548e-15,-1.28436148672581e-8,-0.057650981947298806
1.2159990941637499e-8,3.653945976586947e-15,-1.2159987287691523e-8,-0.05765123155086208
1.1528652827753293e-8,3.2043156235659076e-15,-1.1528649623437669e-8,-0.0576514680382647
1.0945354468985343e-8,2.9354854706298576e-15,-1.0945351533499873e-8,-0.057651692410119935
1.0406170115612141e-8,2.5981183437657605e-15,-1.0406167517493797e-8,-0.0576519055854791
9.907477936074634e-9,2.4186277636123065e-15,-9.90747551744687e-9,-0.05765210840810391
9.445939659743118e-9,2.1688660871258022e-15,-9.44593749087703e-9,-0.05765230165232944
9.018481542632392e-9,1.944784167015971e-15,-9.018479597848224e-9,-0.0576524860285346
8.62227633908493e-9,1.791571584431675e-15,-8.622274547513346e-9,-0.05765266218824189
8.254725900344265e-9,1.7057094558183773e-15,-8.254724194634809e-9,-0.05765283072886104
7.913444533952158e-9,1.4995960623216946e-15,-7.913443034356096e-9,-0.05765299219809682
7.59624369357448e-9,1.5048077825999752e-15,-7.596242188766697e-9,-0.0576531470980353
7.301116958414496e-9,1.3127105890323342e-15,-7.301115645703907e-9,-0.057653295888929174
7.026226630047587e-9,1.2466245258646794e-15,-7.026225383423061e-9,-0.05765343899269532
6.769889988811583e-9,1.234407966676793e-15,-6.7698887544036164e-9,-0.057653576796144204
6.530567452741667e-9,1.0991880350591503e-15,-6.530566353553632e-9,-0.057653709653956886
